id;modified;language;license;collectionCode;basisOfRecord;dynamicProperties;occurrenceID;organismQuantity;organismQuantityType;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;footprintWKT;scientificNameID;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;scientificNameAuthorship;vernacularName
2438_MISTA_Antarctic_Phipoda:0001;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0001;1;individual count;164;164;-60.89416695;-55.62861061;LINESTRING(-55.6527786254883 -60.9022216796875, -55.6044425964355 -60.8861122131348);urn:lsid:marinespecies.org:taxname:101585;Abyssorchomene;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Abyssorchomene;;De Broyer;Abyssorchomene
2438_MISTA_Antarctic_Phipoda:0002;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Epibenthic Sledge (diverse)};2438_MISTA_Antarctic_Phipoda:0002;1;individual count;2894;2893;-60.63722229;-53.95708466;LINESTRING(-53.956111907959 -60.6391677856445, -53.9580574035645 -60.6352767944336);urn:lsid:marinespecies.org:taxname:101585;Abyssorchomene;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Abyssorchomene;;De Broyer;Abyssorchomene
2438_MISTA_Antarctic_Phipoda:0003;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0003;1;individual count;270;280;-75.23332977;-26.98333359;POINT(-26.9833335876465 -75.2333297729492);urn:lsid:marinespecies.org:taxname:101585;Abyssorchomene;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Abyssorchomene;;De Broyer;Abyssorchomene
2438_MISTA_Antarctic_Phipoda:0004;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Trawl (diverse)};2438_MISTA_Antarctic_Phipoda:0004;1;individual count;240;;-70.31861115;24.2098608;LINESTRING(24.2180557250977 -70.3191680908203, 24.2016658782959 -70.3180541992188);urn:lsid:marinespecies.org:taxname:101585;Abyssorchomene;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Abyssorchomene;;De Broyer;Abyssorchomene
2438_MISTA_Antarctic_Phipoda:0005;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Baited traps (diverse)};2438_MISTA_Antarctic_Phipoda:0005;1;individual count;55;;-49;69;POINT(69 -49);urn:lsid:marinespecies.org:taxname:101585;Abyssorchomene;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Abyssorchomene;;De Broyer;Abyssorchomene
2438_MISTA_Antarctic_Phipoda:0006;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;;2438_MISTA_Antarctic_Phipoda:0006;1;individual count;;;-49;69;POINT(69 -49);urn:lsid:marinespecies.org:taxname:101585;Abyssorchomene;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Abyssorchomene;;De Broyer;Abyssorchomene
2438_MISTA_Antarctic_Phipoda:0007;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;;2438_MISTA_Antarctic_Phipoda:0007;1;individual count;;;-49;69;POINT(69 -49);urn:lsid:marinespecies.org:taxname:101585;Abyssorchomene;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Abyssorchomene;;De Broyer;Abyssorchomene
2438_MISTA_Antarctic_Phipoda:0008;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0008;1;individual count;402;399;-60.98388863;-43.45111084;LINESTRING(-43.4569435119629 -60.9863891601562, -43.4452781677246 -60.981388092041);urn:lsid:marinespecies.org:taxname:102492;Abyssorchomene abyssorum;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Abyssorchomene;abyssorum;Stebbing;Abyssorchomene abyssorum
2438_MISTA_Antarctic_Phipoda:0009;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Fish stomach content};2438_MISTA_Antarctic_Phipoda:0009;1;individual count;25;;-53.69666672;-36.95750046;LINESTRING(-37 -53.6966667175293, -36.9150009155273 -53.6966667175293);urn:lsid:marinespecies.org:taxname:102492;Abyssorchomene abyssorum;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Abyssorchomene;abyssorum;Stebbing;Abyssorchomene abyssorum
2438_MISTA_Antarctic_Phipoda:0010;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Russian Grab?};2438_MISTA_Antarctic_Phipoda:0010;1;individual count;1070;;-69.80000305;161.8166656;POINT(161.816665649414 -69.8000030517578);urn:lsid:marinespecies.org:taxname:102492;Abyssorchomene abyssorum;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Abyssorchomene;abyssorum;Stebbing;Abyssorchomene abyssorum
