"id","modified","language","license","collectionCode","basisOfRecord","dynamicProperties","occurrenceID","organismQuantity","organismQuantityType","minimumDepthInMeters","maximumDepthInMeters","decimalLatitude","decimalLongitude","footprintWKT","scientificNameID","scientificName","kingdom","phylum","class","order","family","genus","specificEpithet","scientificNameAuthorship","vernacularName","observation_type"
"2438_MISTA_Antarctic_Phipoda:0001","9/09/20","English","CC-BY 4.0","RBINS","HumanObservation","{gear:Bottom trawl (PS)}","2438_MISTA_Antarctic_Phipoda:0001",1,"individual count",164,164,-60.8942,-55.6286,"LINESTRING(-55.6527786254883 -60.9022216796875, -55.6044425964355 -60.8861122131348)","urn:lsid:marinespecies.org:taxname:101585","Abyssorchomene","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene",NA,"De Broyer","Abyssorchomene","bottom trawling"
"2438_MISTA_Antarctic_Phipoda:0003","9/09/20","English","CC-BY 4.0","RBINS","HumanObservation","{gear:Scuba Diving sampling by hand}","2438_MISTA_Antarctic_Phipoda:0003",1,"individual count",270,280,-75.2333,-26.9833,"POINT(-26.9833335876465 -75.2333297729492)","urn:lsid:marinespecies.org:taxname:101585","Abyssorchomene","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene",NA,"De Broyer","Abyssorchomene","scuba diving"
"2438_MISTA_Antarctic_Phipoda:0004","9/09/20","English","CC-BY 4.0","RBINS","HumanObservation","{gear:Trawl (diverse)}","2438_MISTA_Antarctic_Phipoda:0004",1,"individual count",240,NA,-70.3186,24.2099,"LINESTRING(24.2180557250977 -70.3191680908203, 24.2016658782959 -70.3180541992188)","urn:lsid:marinespecies.org:taxname:101585","Abyssorchomene","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene",NA,"De Broyer","Abyssorchomene","bottom trawling"
"2438_MISTA_Antarctic_Phipoda:0005","9/09/20","English","CC-BY 4.0","RBINS","HumanObservation","{gear:Baited traps (diverse)}","2438_MISTA_Antarctic_Phipoda:0005",1,"individual count",55,NA,-49,69,"POINT(69 -49)","urn:lsid:marinespecies.org:taxname:101585","Abyssorchomene","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene",NA,"De Broyer","Abyssorchomene","bottom trawling"
"2438_MISTA_Antarctic_Phipoda:0009","9/09/20","English","CC-BY 4.0","RBINS","HumanObservation","{gear:Fish stomach content}","2438_MISTA_Antarctic_Phipoda:0009",1,"individual count",25,NA,-53.6967,-36.9575,"LINESTRING(-37 -53.6966667175293, -36.9150009155273 -53.6966667175293)","urn:lsid:marinespecies.org:taxname:102492","Abyssorchomene abyssorum","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene","abyssorum","Stebbing","Abyssorchomene abyssorum","bottom trawling"
"2438_MISTA_Antarctic_Phipoda:0010","9/09/20","English","CC-BY 4.0","RBINS","HumanObservation","{gear:Russian Grab?}","2438_MISTA_Antarctic_Phipoda:0010",1,"individual count",1070,NA,-69.8,161.8167,"POINT(161.816665649414 -69.8000030517578)","urn:lsid:marinespecies.org:taxname:102492","Abyssorchomene abyssorum","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene","abyssorum","Stebbing","Abyssorchomene abyssorum","bottom trawling"
"2438_MISTA_Antarctic_Phipoda:0011","9/09/20","English","CC-BY 4.0","RBINS","HumanObservation","{gear:Bottom trawl (PS)}","2438_MISTA_Antarctic_Phipoda:0011",1,"individual count",256,296,-61.7535,-57.9974,"LINESTRING(-58.0255546569824 -61.7480545043945, -57.969165802002 -61.7588882446289)","urn:lsid:marinespecies.org:taxname:237244","Abyssorchomene charcoti","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene","charcoti","Chevreux","Abyssorchomene charcoti","bottom trawling"
"2438_MISTA_Antarctic_Phipoda:0013","9/09/20","English","CC-BY 4.0","RBINS","HumanObservation","{gear:Rauschert dredge}","2438_MISTA_Antarctic_Phipoda:0013",1,"individual count",379,NA,-73.6333,-22.1417,"POINT(-22.1416664123535 -73.6333312988281)","urn:lsid:marinespecies.org:taxname:237244","Abyssorchomene charcoti","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene","charcoti","Chevreux","Abyssorchomene charcoti","bottom trawling"
"2438_MISTA_Antarctic_Phipoda:0014","9/09/20","English","CC-BY 4.0","RBINS","HumanObservation","{gear:Fish trap (WED98)}","2438_MISTA_Antarctic_Phipoda:0014",1,"individual count",373,422,-70.8169,-10.6755,"LINESTRING(-10.6701669692993 -70.8198318481445, -10.6808004379272 -70.8140029907227)","urn:lsid:marinespecies.org:taxname:237244","Abyssorchomene charcoti","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene","charcoti","Chevreux","Abyssorchomene charcoti","bottom trawling"
"2438_MISTA_Antarctic_Phipoda:0015","9/09/20","English","CC-BY 4.0","RBINS","HumanObservation","{gear:Bentho Pelagic Net (PS)}","2438_MISTA_Antarctic_Phipoda:0015",1,"individual count",798,810,-74.6167,-29.6833,"POINT(-29.6833324432373 -74.6166687011719)","urn:lsid:marinespecies.org:taxname:237162","Abyssorchomene nodimanus","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene","nodimanus","Walker","Abyssorchomene nodimanus","bottom trawling"
